Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,scissors,computer
4,rock,scissors,player
5,scissors,paper,player
6,paper,rock,player
7,rock,paper,computer
8,scissors,rock,computer
9,paper,scissors,computer
10,rock,paper,computer
11,paper,rock,player
12,rock,paper,computer
13,scissors,rock,computer
14,paper,scissors,computer
15,rock,paper,computer
16,rock,rock,tie
17,rock,scissors,player
18,rock,paper,computer
19,scissors,paper,player
20,rock,scissors,player
21,paper,rock,player
22,rock,paper,computer
23,scissors,rock,computer
24,scissors,scissors,tie
25,scissors,scissors,tie
26,rock,rock,tie
27,paper,scissors,computer
28,rock,paper,computer
29,rock,rock,tie
30,rock,paper,computer
31,scissors,paper,player
32,scissors,scissors,tie
33,scissors,rock,computer
34,paper,rock,player
35,rock,paper,computer
36,scissors,rock,computer
37,paper,scissors,computer
38,rock,paper,computer
39,scissors,rock,computer
40,scissors,scissors,tie
41,paper,rock,player
42,rock,paper,computer
43,scissors,rock,computer
44,rock,scissors,player
45,rock,scissors,player
46,rock,paper,computer
47,scissors,paper,player
48,paper,scissors,computer
